2025-03-08 23:48:31,358 - INFO - 
Virtual ports created!
Simulator using: /tmp/vgps1
Receiver should use: /tmp/vgps2

2025-03-08 23:48:31,358 - INFO - Connected to /tmp/vgps1
2025-03-08 23:48:31,358 - INFO - Advancing to waypoint 2
2025-03-08 23:48:31,358 - INFO - Following waypoints:
2025-03-09 23:38:09,088 - INFO - Waypoint 16 reached
2025-03-09 23:38:16,088 - INFO - Waypoint 17 reached
2025-03-09 23:38:21,089 - INFO - Waypoint 18 reached
2025-03-09 23:38:29,089 - INFO - Waypoint 19 reached
2025-03-09 23:38:35,090 - INFO - Waypoint 20 reached
2025-03-09 23:38:38,090 - INFO - Waypoint 21 reached
2025-03-09 23:38:40,090 - INFO - Waypoint 22 reached
2025-03-09 23:38:45,091 - INFO - Waypoint 23 reached
2025-03-09 23:39:01,092 - INFO - Waypoint 24 reached
2025-03-09 23:39:09,092 - INFO - Waypoint 25 reached
2025-03-09 23:39:13,093 - INFO - Waypoint 26 reached
2025-03-09 23:39:16,093 - INFO - Waypoint 27 reached
2025-03-09 23:39:18,093 - INFO - Waypoint 28 reached
2025-03-09 23:39:20,093 - INFO - Waypoint 29 reached
2025-03-09 23:39:30,094 - INFO - Waypoint 30 reached
2025-03-09 23:39:40,095 - INFO - Waypoint 31 reached
2025-03-09 23:39:44,095 - INFO - Waypoint 32 reached
2025-03-09 23:39:47,095 - INFO - Waypoint 33 reached
2025-03-09 23:39:49,095 - INFO - Waypoint 34 reached
2025-03-09 23:39:51,096 - INFO - Waypoint 35 reached
2025-03-09 23:40:09,097 - INFO - Waypoint 36 reached
2025-03-09 23:40:11,097 - INFO - Waypoint 37 reached
2025-03-09 23:40:13,097 - INFO - Waypoint 38 reached
2025-03-09 23:40:14,097 - INFO - Waypoint 39 reached
2025-03-09 23:40:16,098 - INFO - Waypoint 40 reached
2025-03-09 23:40:18,098 - INFO - Waypoint 41 reached
2025-03-09 23:40:26,024 - INFO - Stopping simulation...
2025-03-09 23:40:26,098 - INFO - Simulation stopped
2025-03-10 00:02:43,849 - INFO - 
Virtual ports created!
Simulator using: /tmp/vgps1
Receiver should use: /tmp/vgps2

2025-03-10 00:02:43,850 - INFO - Connected to /tmp/vgps1
2025-03-10 00:02:43,850 - INFO - Waypoint 1 reached
2025-03-10 00:02:43,850 - INFO - Following 116 waypoints at 15.0 m/s
2025-03-10 00:02:43,850 - INFO - Starting from waypoint 1: 23.192414, 77.371005
2025-03-10 00:02:43,850 - INFO - GPS simulation started. Press Ctrl+C to stop.
2025-03-10 00:02:45,850 - INFO - Waypoint 2 reached
2025-03-10 00:02:47,850 - INFO - Waypoint 3 reached
2025-03-10 00:02:55,851 - INFO - Waypoint 4 reached
2025-03-10 00:03:02,851 - INFO - Waypoint 5 reached
2025-03-10 00:03:20,853 - INFO - Waypoint 6 reached
2025-03-10 00:03:30,854 - INFO - Waypoint 7 reached
2025-03-10 00:03:41,854 - INFO - Waypoint 8 reached
2025-03-10 00:03:47,855 - INFO - Waypoint 9 reached
2025-03-10 00:03:57,856 - INFO - Waypoint 10 reached
2025-03-10 00:04:06,856 - INFO - Waypoint 11 reached
2025-03-10 00:04:10,857 - INFO - Waypoint 12 reached
2025-03-10 00:04:12,857 - INFO - Waypoint 13 reached
2025-03-10 00:04:18,857 - INFO - Waypoint 14 reached
2025-03-10 00:04:33,858 - INFO - Waypoint 15 reached
2025-03-10 00:04:36,859 - INFO - Waypoint 16 reached
2025-03-10 00:04:43,859 - INFO - Waypoint 17 reached
2025-03-10 00:04:48,860 - INFO - Waypoint 18 reached
2025-03-10 00:04:55,860 - INFO - Waypoint 19 reached
2025-03-10 00:05:01,861 - INFO - Waypoint 20 reached
2025-03-10 00:05:04,861 - INFO - Waypoint 21 reached
2025-03-10 00:05:06,861 - INFO - Waypoint 22 reached
2025-03-10 00:05:11,861 - INFO - Waypoint 23 reached
2025-03-10 00:05:27,863 - INFO - Waypoint 24 reached
2025-03-10 00:05:34,863 - INFO - Waypoint 25 reached
2025-03-10 00:05:38,863 - INFO - Waypoint 26 reached
2025-03-10 00:05:41,864 - INFO - Waypoint 27 reached
2025-03-10 00:05:43,864 - INFO - Waypoint 28 reached
2025-03-10 00:05:45,864 - INFO - Waypoint 29 reached
2025-03-10 00:05:55,865 - INFO - Waypoint 30 reached
2025-03-10 00:06:05,866 - INFO - Waypoint 31 reached
2025-03-10 00:06:09,866 - INFO - Waypoint 32 reached
2025-03-10 00:06:12,866 - INFO - Waypoint 33 reached
2025-03-10 00:06:15,866 - INFO - Waypoint 34 reached
2025-03-10 00:06:17,866 - INFO - Waypoint 35 reached
2025-03-10 00:06:35,868 - INFO - Waypoint 36 reached
2025-03-10 00:06:37,868 - INFO - Waypoint 37 reached
2025-03-10 00:06:39,868 - INFO - Waypoint 38 reached
2025-03-10 00:06:41,868 - INFO - Waypoint 39 reached
2025-03-10 00:06:43,868 - INFO - Waypoint 40 reached
2025-03-10 00:06:45,869 - INFO - Waypoint 41 reached
2025-03-10 00:06:53,869 - INFO - Waypoint 42 reached
2025-03-10 00:06:58,870 - INFO - Waypoint 43 reached
2025-03-10 00:07:12,871 - INFO - Waypoint 44 reached
2025-03-10 00:07:19,871 - INFO - Waypoint 45 reached
2025-03-10 00:07:21,871 - INFO - Waypoint 46 reached
2025-03-10 00:07:26,872 - INFO - Waypoint 47 reached
2025-03-10 00:07:30,872 - INFO - Waypoint 48 reached
2025-03-10 00:07:34,872 - INFO - Waypoint 49 reached
2025-03-10 00:07:36,872 - INFO - Waypoint 50 reached
2025-03-10 00:07:40,873 - INFO - Waypoint 51 reached
2025-03-10 00:07:42,873 - INFO - Waypoint 52 reached
2025-03-10 00:07:50,874 - INFO - Waypoint 53 reached
2025-03-10 00:07:52,874 - INFO - Waypoint 54 reached
2025-03-10 00:07:57,874 - INFO - Waypoint 55 reached
2025-03-10 00:08:01,874 - INFO - Waypoint 56 reached
2025-03-10 00:08:07,875 - INFO - Waypoint 57 reached
2025-03-10 00:08:11,875 - INFO - Waypoint 58 reached
2025-03-10 00:08:14,875 - INFO - Waypoint 59 reached
2025-03-10 00:08:17,876 - INFO - Waypoint 60 reached
2025-03-10 00:08:29,876 - INFO - Waypoint 61 reached
2025-03-10 00:08:31,877 - INFO - Waypoint 62 reached
